eeee|IY IY
owow|AW AW
owoy|AW OY
owng|AW NG
oww|AW W
owy|AW Y
owz|AW Z
owsh|AW SH
owzh|AW ZH
owf|AW F
owv|AW V
owdh|AW DH
owh|AW HH
owp|AW P
owb|AW B
owk|AW K
owg|AW G
owch|AW CH
owj|AW JH
oyee|OY IY
oyi|OY IH
oye|OY EH
oyah|OY AA
oyu|OY AH
oyaw|OY AO
oyoo|OY UW
oyer|OY ER
oya|OY AX
oyeye|OY AY
oyoh|OY OW
oyow|OY AW
oyoy|OY OY
oym|OY M
oyn|OY N
oyr|OY R
oyw|OY W
oyy|OY Y
oyz|OY Z
oysh|OY SH
oyzh|OY ZH
oyf|OY F
oyv|OY V
oyth|OY TH
oydh|OY DH
oyh|OY HH
oyp|OY P
oyb|OY B
oyd|OY D
oyk|OY K
oyg|OY G
oych|OY CH
oyj|OY JH
moo|M UH
moh|M OW
mn|M N
mng|M NG
ml|M L
mz|M Z
msh|M SH
mzh|M ZH
mt|M T
md|M D
mk|M K
mg|M G
mch|M CH
mj|M JH
naw|N AO
noo|N UH
nay|N EY
noy|N OY
nng|N NG
nz|N Z
nzh|N ZH
nj|N JH
ngee|NG IY
ngaw|NG AO
ngoo|NG UW
ngay|NG EY
ngoh|NG OW
ngow|NG AW
ngoy|NG OY
ngm|NG M
ngn|NG N
ngng|NG NG
ngz|NG Z
ngsh|NG SH
ngzh|NG ZH
ngv|NG V
ngch|NG CH
ngj|NG JH
ler|L ER
lng|L NG
lz|L Z
lsh|L SH
lzh|L ZH
lj|L JH
roo|R UH
rer|R ER
rng|R NG
rz|R Z
rsh|R SH
rzh|R ZH
wa|W AX
woh|W OW
wow|W AW
woy|W OY
wm|W M
wn|W N
wng|W NG
wl|W L
wr|W R
ww|W W
wz|W Z
wsh|W SH
wzh|W ZH
wv|W V
wth|W TH
wdh|W DH
wp|W P
wd|W D
wk|W K
wch|W CH
wj|W JH
yee|Y IY
yoo|Y UH
ya|Y AX
yay|Y EY
yoy|Y OY
ym|Y M
yng|Y NG
yr|Y R
yy|Y Y
yz|Y Z
ysh|Y SH
yzh|Y ZH
yv|Y V
yp|Y P
ych|Y CH
yj|Y JH
soo|S UW
sng|S NG
sz|S Z
szh|S ZH
sg|S G
zoo|Z UW
zay|Z EY
zoh|Z OW
zow|Z AW
zoy|Z OY
zm|Z M
zng|Z NG
zl|Z L
zsh|Z SH
zzh|Z ZH
zv|Z V
zp|Z P
zch|Z CH
zj|Z JH
shu|SH AH
shoo|SH UW
sher|SH ER
shay|SH EY
sheye|SH AY
shoy|SH OY
shm|SH M
shn|SH N
shng|SH NG
shl|SH L
shr|SH R
shw|SH W
shy|SH Y
shs|SH S
shz|SH Z
shzh|SH ZH
shf|SH F
shv|SH V
shth|SH TH
shdh|SH DH
shh|SH HH
shp|SH P
shb|SH B
sht|SH T
shd|SH D
shk|SH K
shg|SH G
shch|SH CH
shj|SH JH
zhee|ZH IY
zhi|ZH IH
zhe|ZH EH
zha|ZH AE
zhah|ZH AA
zhu|ZH AH
zhaw|ZH AO
zhoo|ZH UW
zher|ZH ER
zhay|ZH EY
zheye|ZH AY
zhoh|ZH OW
zhow|ZH AW
zhoy|ZH OY
zhm|ZH M
zhn|ZH N
zhng|ZH NG
zhl|ZH L
zhr|ZH R
zhw|ZH W
zhy|ZH Y
zhs|ZH S
zhz|ZH Z
zhsh|ZH SH
zhzh|ZH ZH
zhf|ZH F
zhv|ZH V
zhth|ZH TH
zhdh|ZH DH
zhh|ZH HH
zhp|ZH P
zhb|ZH B
zht|ZH T
zhd|ZH D
zhk|ZH K
zhg|ZH G
zhch|ZH CH
zhj|ZH JH
foo|F UW
fay|F EY
fow|F AW
foy|F OY
fm|F M
fn|F N
fng|F NG
fw|F W
fs|F S
fz|F Z
fsh|F SH
fzh|F ZH
fv|F V
fp|F P
fb|F B
fch|F CH
fj|F JH
vaw|V AO
voo|V UW
veye|V AY
voh|V OW
vow|V AW
vm|V M
vng|V NG
vz|V Z
vsh|V SH
vzh|V ZH
vf|V F
vth|V TH
vh|V HH
vch|V CH
vj|V JH
thee|TH IY
thah|TH AA
thoo|TH UW
thay|TH EY
theye|TH AY
thoh|TH OW
thow|TH AW
thoy|TH OY
thng|TH NG
thl|TH L
thy|TH Y
thz|TH Z
thsh|TH SH
thzh|TH ZH
thf|TH F
thv|TH V
thth|TH TH
thdh|TH DH
thd|TH D
thg|TH G
thch|TH CH
thj|TH JH
dhah|DH AA
dhu|DH AH
dhaw|DH AO
dhoo|DH UW
dher|DH ER
dheye|DH AY
dhoh|DH OW
dhow|DH AW
dhoy|DH OY
dhm|DH M
dhn|DH N
dhng|DH NG
dhl|DH L
dhr|DH R
dhw|DH W
dhy|DH Y
dhs|DH S
dhsh|DH SH
dhzh|DH ZH
dhf|DH F
dhv|DH V
dhth|DH TH
dhdh|DH DH
dhp|DH P
dhb|DH B
dht|DH T
dhd|DH D
dhg|DH G
dhch|DH CH
dhj|DH JH
hoo|HH UH
hay|HH EY
hoy|HH OY
hng|HH NG
hl|HH L
hr|HH R
hw|HH W
hy|HH Y
hs|HH S
hz|HH Z
hsh|HH SH
hzh|HH ZH
hf|HH F
hv|HH V
hth|HH TH
hdh|HH DH
hh|HH HH
hp|HH P
hb|HH B
hd|HH D
hk|HH K
hg|HH G
hch|HH CH
hj|HH JH
pee|P IY
poo|P UW
pa|P AX
peye|P AY
poh|P OW
poy|P OY
pn|P N
png|P NG
pz|P Z
pzh|P ZH
pv|P V
pdh|P DH
ph|P HH
pd|P D
pg|P G
pj|P JH
bee|B IY
boo|B UH
beye|B AY
bm|B M
bn|B N
bng|B NG
bw|B W
bz|B Z
bsh|B SH
bzh|B ZH
bf|B F
bv|B V
bth|B TH
bh|B HH
bp|B P
bt|B T
bd|B D
bk|B K
bg|B G
bch|B CH
too|T UH
toh|T OW
tng|T NG
tz|T Z
tzh|T ZH
tv|T V
doo|D UH
deye|D AY
dow|D AW
doy|D OY
dng|D NG
dz|D Z
dsh|D SH
dzh|D ZH
kee|K IY
ka|K AX
kow|K AW
koy|K OY
km|K M
kn|K N
kng|K NG
kz|K Z
kzh|K ZH
kv|K V
gee|G IY
ga|G AX
gay|G EY
geye|G AY
goh|G OW
gow|G AW
gng|G NG
gz|G Z
gsh|G SH
gzh|G ZH
gf|G F
gv|G V
gth|G TH
gdh|G DH
gt|G T
gch|G CH
choo|CH UH
cha|CH AX
chay|CH EY
cheye|CH AY
chow|CH AW
choy|CH OY
chm|CH M
chng|CH NG
chl|CH L
chr|CH R
chy|CH Y
chz|CH Z
chsh|CH SH
chzh|CH ZH
chv|CH V
chth|CH TH
chh|CH HH
chp|CH P
chb|CH B
chd|CH D
chj|CH JH
jee|JH IY
joo|JH UW
ja|JH AX
jay|JH EY
jeye|JH AY
joh|JH OW
jm|JH M
jn|JH N
jng|JH NG
jl|JH L
jy|JH Y
js|JH S
jz|JH Z
jsh|JH SH
jzh|JH ZH
jf|JH F
jv|JH V
jth|JH TH
jdh|JH DH
jh|JH HH
jp|JH P
jb|JH B
jt|JH T
jk|JH K
jg|JH G
jj|JH JH
xeerx|IY R
xioox|IH UH
xaawx|AE AO
xaoox|AX UH
xaax|AE AX
xaayx|AE EY
xaeyex|AE AY
xaohx|AE OW
xaowx|AE AW
xaoyx|AE OY
xadhx|AE DH
xahoox|AA UH
xuoox|AH UH
xawax|AO AE
xawoox|AO UH
xooeex|UH IY
xooex|UH EH
xooax|UH AE
xooahx|UH AA
xooux|UH AH
xooawx|UH AO
xoooox|UW UH
xooerx|UH ER
xooayx|UH EY
xooeyex|UH AY
xooohx|UH OW
xoooyx|UH OY
xoongx|UH NG
xoozx|UH Z
xooshx|UH SH
xoozhx|UH ZH
xoovx|UH V
xoojx|UH JH
xayax|EY AE
xeyeoox|AY UH
xowax|AW AE
xowoox|AW UH
xoyoox|OY UH
xsoox|S UH
xzoox|Z UH
xfoox|F UH
xjoox|JH UH
